SPECIES,XCO,YCO,DBH2023,GROWTH2123,CLASS2023
DACRR1,9.7,10.9,20,-0.1,4
ARTOIS,19.5,12.2,15.1,0.4,3
APORCO,19.1,12,12.8,0,3
SHORM1,18.2,12.8,13.8,0.5,3
ALANRI,19,11.2,15.1,-0.3,3
PORTAN,19.1,10.6,12.3,-0.1,3
SHORP2,18.6,19,13.3,0.2,3
DIPTC1,19.7,10.6,30.4,0.4,5
MACALO,20,10.5,12.6,0,3
EUGEFL,14.3,6.4,38.9,-0.2,5
XERONO,14.5,7.5,13.5,0.1,3
APORBR,16,8,13.7,0.1,3
CROTLA,15.6,6.4,11.6,0.2,3
PTYCCO,15.6,1.1,13.2,-0.4,3
DIOSNU,16.2,0.5,11.8,0.2,3
KNEMMA,14.6,0,25.9,-0.1,4
ARCHDI,8.5,1.2,19.8,0.4,3
XYLOM2,8.8,1.4,15.1,0.2,3
HORSCR,28.5,1,12.4,0.3,3
DACRR1,33.5,0.4,12,-0.1,3
CLE1SU,33.7,2,16.7,0.1,3
DACRR1,29.7,8.9,14.6,0,3
DACRR1,22.5,6.6,17.2,0,3
APORBR,24.1,7.1,12.6,0.1,3
SHORP1,23.5,7,12.4,0.4,3
HERISI,32.1,17.4,11.5,0,3
CHISTO,34,19.5,13.8,0.1,3
DACRR1,36,7.3,19.2,0.2,3
ANI2CO,37.1,10.2,14.9,0.1,3
SANTLA,35.3,9.8,11,0,3
CLE1SU,45,2.7,23.4,0,4
CYNOMA,42.5,4.2,14,0.2,3
DIPLMA,41.4,7,11.6,0.4,3
MANGQU,43.2,12.9,17.7,0.4,3
GANUSN,40.4,13.4,13.7,0.1,3
CLE1SU,48,15,11.8,0.1,3
MYRICI,49.5,15.8,11.1,0.1,3
OCHAAM,48.7,11.8,19,0.2,3
GREWMI,48,12,12.3,0.1,3
RYPAKU,56.2,17,16.6,0.4,3
PAYELU,56.6,16.5,14,0.4,3
CLE1SU,58,12.2,13.8,-0.1,3
PORTAN,58.8,11.4,22.7,0.3,4
BEILL1,55.2,2.2,15.9,0.1,3
POMEPA,61,3.5,13.9,0.3,3
SCA1SP,69.5,1.8,12,0.4,3
ALPHEL,61.8,3.3,20.1,0.3,4
CLE1SU,65.5,4.9,15,0.1,3
GREWMI,71.6,6.5,17.4,0.2,3
APORPR,69.4,7.2,11.7,0,3
SHORL1,68.7,18.9,9.2,-5.3,2
MACALO,67.9,16.5,11,0,3
DIOSS1,61.1,17.2,17.9,0.4,3
DIPLMA,62,15.7,11.1,0.1,3
XANTEU,78.8,14.1,14.8,0,3
LITHEW,79.3,7,21.2,0.2,4
ARCHBU,79,1.4,19.1,0.2,3
ALANEB,79.2,1,13.4,0.2,3
DIOSAP,81,5.4,18.5,0,3
OCHAAM,95.6,17.4,13.6,-1.3,3
ALANEB,95.4,17.2,11,0,3
OCHAAM,92,0.4,10.4,-0.1,3
DACRR2,98.1,16.3,15.1,0.1,3
QUERAR,98,17.1,14.7,0.2,3
DILLSU,90,19,13.2,0.2,3
ELATTA,96.1,2.3,11.1,-0.1,3
PARKSP,99.2,3.5,13.1,0.3,3
RYPAAC,93.7,4.3,32.8,0.3,5
DIOSSU,92.5,1.2,11.2,0.3,3
DIOSBU,91.2,0.5,13.3,0.2,3
XANTRU,80.8,28.2,14.9,0.1,3
MACACO,81.2,22.2,11.3,0.1,3
AIDICO,89.8,34.2,12.3,0.2,3
PAR1OB,85.1,39.4,26.9,0.4,4
ARDICO,86,39,15.6,0.4,3
DIPLMA,89.3,37.7,17.2,0.1,3
CANALL,81.2,39.7,12,0.5,3
SANTLA,93.6,29.9,18.2,0.1,3
ARTOIS,94,28.5,15.6,0.1,3
MACALO,94.8,26,12.5,0.1,3
GARCMA,99,22.1,12.8,0.1,3
SANTLA,98.2,20.3,30.3,-0.4,5
GARCPA,99.6,20.4,11.6,-0.2,3
SANTLA,48.5,22,11.8,-0.1,3
DIOSAP,44.6,26.3,28.7,0.5,4
ALPHEL,48.2,30.2,13,0.5,3
SHORM2,46,38.2,12.7,0.1,3
CROTLA,47.2,38.5,14.9,0.5,3
NEPHER,51,38,13.5,0.1,3
DURIGR,56.5,30,11.8,0,3
KOKOOC,23.2,26.6,12.8,0.4,3
RYPAKU,21.5,32.9,18,0.1,3
SANTLA,36,30.5,14.4,0.4,3
HORSPS,1,32.4,13.4,0.1,3
HUNTZE,0.5,35,13.1,0.3,3
SANTLA,9.8,37.3,17.1,0.3,3
DACRRO,8.3,35,15.8,0.1,3
DACRR1,12.7,33.1,18.9,0.4,3
KNEMMA,12.3,28.8,16.1,0.4,3
EUGERI,18.1,21.2,13.1,0.4,3
KNEMSC,14,21.4,23.7,0.5,4
MACALO,7.1,40.3,16.2,0.2,3
PSYD10,10.8,47.3,12.2,0.1,3
NEOSKI,13.4,47.8,12.4,0.3,3
