QUAD,SP,XCO,YCO
24,SHORL2,69.6,83.1
24,TIMOWA,67.6,81.4
24,DIOSSI,72.4,99.6
25,CARABR,81.6,80.2
25,APORBR,82,81.6
25,CASTME,86.4,82.6
25,MEMEAM,85.2,83
25,APORAU,87.4,84
25,ALANRI,90.8,80.7
25,DACRR1,89.8,81.6
25,STERPA,91.6,84.9
25,EUGEC1,94.1,86.2
25,ELAEP3,93.5,85
25,ARTOKE,94,83.2
25,APORBR,96,83.5
25,DIPLMA,94.3,86.8
25,APORPR,92.1,89.2
25,CALOTE,88.4,90.3
25,CANTDI,84.2,89.8
25,POL1RU,82.6,89.8
25,EUGEC1,80.3,86
25,DIPTC1,85.3,88.2
25,DRYPLO,80.7,91.6
25,ELLATA,80.4,93.4
25,SHORM1,81.1,94.9
25,SHORM1,82.7,95.2
25,EUGEC1,83.4,96.1
25,DIPTC1,85,97.6
25,SHORP2,85.5,98.1
25,GIRONE,86.8,95.3
25,NEPHCO,90.4,97.5
25,DIPTC1,90.5,95.1
25,CANALR,93.1,95.1
25,DYERCO,93.5,95.4
25,INTSPA,91.4,93.7
25,EUGESP,91.8,93.7
25,SHORM1,92,93.3
25,SCA1SP,95.5,96.4
25,DIPTC1,97.6,94.5
25,ALANEB,97,94.2
25,DIOSBU,97.3,95.5
25,XERONO,99.8,93
25,ARCHBU,96.4,94.1
25,SCA2MA,97.7,98.9
25,BACCRA,96.8,90.7
25,CANTDI,96.8,87
25,MONOMA,98.4,86.7
25,QUERAR,99.6,82.3
25,ELAEFE,0,0
26,ELATTA,80,100
26,PORTAN,80.9,101.3
26,HOPEDR,83.6,104.4
26,DIPTC1,88.8,105.1
26,ARCHBU,89,106
26,MEMEMI,88.6,108.1
26,MEMEMI,88.3,109.5
26,MEZZLE,89.2,108.8
26,PTYCCO,89.4,108.7
26,SHORAC,83.7,111.6
26,DIPLMA,81.3,107.7
26,SANTTO,89.9,114.6
26,ONCOMO,90.4,112.5
26,GIRONE,81.7,118.6
26,LANSDO,85.1,119.5
26,ALANEB,84.5,118
26,PIMEGR,0,0
26,GREWLA,0,0
26,KOILLO,89.7,118.1
26,OCHAAM,91.1,118.5
26,XERONO,92.9,117.8
26,CHRYLA,97.4,119.4
26,ELAERU,98.4,119.9
26,BUCHSE,99.3,117.5
26,DRYPPE,98.9,116.9
26,DILLSU,99.3,115.4
26,ARTOFU,98.3,112.8
26,APORPR,95.7,111.9
26,MONOMA,94.4,111.8
26,DIPTC1,95.5,111.5
26,BACCPA,92.3,112.2
26,MEMEO2,92.4,110.2
26,RYPAKU,100,107.3
26,POL1GL,95.9,108.8
26,KOILLO,98.9,100.3
26,MONOMA,96.6,102.3
26,MEMEAM,98.2,101.2
26,SHORL2,93,101
26,APORAU,92.3,103.5
27,CROTLA,60.6,102.5
27,CALOTE,60.8,100.3
27,ALANRI,64.2,104.1
27,DACRR1,62.2,101.8
27,SHORM2,68.3,104.2
27,EUGEPU,69.1,108
27,BUCHSE,70.6,107.6
27,OCHAAM,79.2,109.4
27,SINDWA,66.4,107.5
27,BACCPY,67,107.3
27,DIOSRU,70.4,109
27,ACROPO,70.8,110.3
27,NEPHER,69,112.4
27,CALOTE,71.3,112.9
27,BACCRE,67.1,112.9
27,LEPISE,71.6,115.2
27,SYMPAD,72,114.5
27,XYLOM2,63.7,114.9
27,KIBAAR,63,113.8
27,SHORM2,61.2,109.2
27,NEOBHE,63.8,117.4
27,SHORM2,63.3,120
27,BUCHSE,60.5,119.2
27,LITHCU,66.7,119.9
27,SAR1GR,67.1,117.4
27,SCA2MA,68.1,117.2
27,APORNI,74,115.5
27,ALPHMA,73.9,119.5
27,DACRR1,0,0
27,MEMEMI,74.5,118.2
27,KNEMLA,72.1,118.4
27,XERONO,74.7,113.5
27,ANI1LA,78.8,110.3
27,KNEMPA,79.2,119.2
27,HOPEME,78.6,118
27,DACRR1,78.8,119.6
27,PTEREC,78.8,110.1
27,CALOWA,74.1,109.1
27,PORTAN,78.2,105.2
27,PIMEGR,75.5,101.7
27,SHORM1,76.6,102.8
27,HOPEME,76,103.5
27,PEN2ST,74.8,104.8
27,GIROPA,77,100.8
27,PEN1MO,72.2,100
28,MONOMA,42.8,103.9
28,MEMEMI,44.3,104.9
28,POL1JE,0,0
28,IXONIC,46.2,104.5
28,BOUEMA,45.4,104.7
28,INTSPA,49.8,103.8
28,CYNOMA,49.2,103.2
28,GANUSN,49.6,100.3
28,ARCHBU,50.8,101.1
28,XANTEU,47.4,110
28,XANTEU,49.9,108.2
28,XANTEU,40,100
28,APORAR,49.5,108.3
28,NEPHER,41.6,108.3
28,CROTLA,42.2,105.8
28,DACRR1,42.6,116.5
28,CASTME,40.4,118
28,SHORM2,44.3,115.9
28,LITHWA,44.7,113.1
28,CALOSO,47.6,113.1
28,PIMEGR,48.4,115.2
28,CALOWA,48.7,117.1
28,RYPAKU,48.4,111.4
28,SINDEC,48.6,115.2
28,DIPLMA,51.5,111
28,BACCPY,54.6,111.5
28,BUCHSE,53.8,117.3
28,MEMEMI,55.1,119.7
28,RYPAKU,56.5,113.7
28,ADENBI,59.4,116
28,PIMEGR,57,117.8
28,GARCPA,56.8,115.1
28,BEILP2,56.2,117.4
28,EUGESC,57.4,114.6
28,ALPHMA,56.4,117
28,SHORM1,59.5,112.7
28,HORSS2,54.6,109.5
28,KOOMMA,56.9,108.3
28,MESUFE,0,0
28,PHYLEM,55.6,106.6
28,ONCOMO,58.3,100.9
28,BEILDI,59.3,100.7
28,LEPISE,53.1,100.8
29,SCHOAC,26,101
29,ARTOLO,26.8,100.5
29,DACRR1,31.8,100.1
29,DACRR1,31.5,101.9
29,MALLPE,28.2,104.5
29,XANTGR,21,101.9
29,DYSOCA,21.1,102.7
29,SAR1GR,29,107.7
29,EUGECL,27.1,109.1
29,SHORM1,26.4,109.5
29,SHORM2,27.8,108.2
29,LANSDO,23.2,108.8
29,MALLPE,20.6,112
29,DRYPLO,30.3,109.8
29,MALLPE,32.2,108
29,CROTLA,0,0
29,MACALO,33.3,109.7
29,XANTEU,29.9,111.2
29,MALLPE,29.1,112.3
29,XANTRU,25.3,113.5
29,OCHAAM,21.6,112
29,MALLPE,23.6,116.4
29,MALLPE,21.8,116.8
29,CROTLA,21.8,118.4
29,SHORM1,39.6,108.5
29,SHORM1,22,119.8
29,MALLPE,23.4,118.5
29,MALLPE,28.8,117.6
29,LITHEW,29.3,118.2
29,DRYPLO,28.6,116.3
29,ARCHBU,29.5,116.3
29,XANTEU,35.1,115.3
29,SCHOAC,36.4,117.3
29,SHORM1,35.2,117.4
29,SHORP1,35.4,116.6
29,PALAH2,39.7,117.6
29,DRYPLO,40,119.3
29,HORSPO,38.1,114.1
29,EUGENA,38.6,113
29,EUGEC1,37,113.9
29,NEPHER,39,109.4
29,HOPEME,39.4,108.5
29,MACALO,32.7,114.5
29,DACRRO,33.2,116.8
29,LANSDO,38,105.8
30,DIOSAP,2.8,100.3
30,DURIGR,3.2,102.9
30,MONOMA,4.7,104.6
30,MACALO,8.7,102.6
30,MESUFE,9.3,103
30,CROTLA,6.5,106.6
30,MACALO,1.4,106
30,BACCRE,8.2,110.2
30,MEMEO2,8.4,110.7
30,BOUEMA,7.5,112.9
30,PRUNAR,0,0
30,KNEMMA,5.2,115
30,EUGEP3,2.9,114.5
30,OCHAAM,3.3,115
30,CRY1GR,5.8,118.4
30,MALLPE,13.7,117.2
30,DACRR1,14,108
30,DRYPLO,16.8,107
30,APORAR,17.6,108.1
30,MACALO,17.6,108.9
30,DIOSLA,16.3,113.1
30,SHORM1,17.4,112.8
30,BOUEOP,16.8,114.3
30,IRVIMA,14.5,105.8
30,MACALO,13.5,105.5
30,KNEMLA,14.2,106.4
30,EUGESU,15.6,112.5
30,DACRR1,19.7,102.8
30,GREWMI,11.3,118.6
31,ALANRI,4.2,125.7
31,MEMEPU,4.8,124.8
31,HOPEDR,5.1,125.2
31,GONOGR,8.1,122.3
31,SHORL2,7.8,123.3
31,NEOSKI,8,121.4
31,PORTAN,7.2,124.3
31,GIRONE,5.7,126.2
31,NEPHOP,8.8,129.2
31,SHORP2,9.2,128.9
31,SHORP1,10.4,130.1
31,MANGQU,13.8,129.8
31,KOOMMA,4.2,130.2
31,POL1JE,4.4,131.5
31,EUGEC1,5.7,131.1
31,SHORP1,6.4,131.4
31,CROTLA,8,131
31,IXONIC,3.6,132.8
31,NEOSKI,1.2,135
31,RYPAKU,1.4,137.3
31,CASTME,3.3,138
31,SHORP1,0.4,138.2
31,BEILDI,7.8,136.2
31,SHORP1,7.6,139.2
31,MEMEMI,11.5,138.2
31,GARCPA,12.8,137.5
31,KIBAMA,15.4,137.2
31,ARCHBU,11.9,133.9
31,HOPEME,12.5,133.3
31,CROTLA,0,0
31,MANGQU,13.2,131.2
31,CALOWA,14.4,134.9
31,XANTEU,13.4,129.1
31,CROTLA,11.7,123.4
31,SCA2MA,15.9,127.4
31,EUGEC1,18.4,128.4
31,SHORMA,18.5,129.2
31,DURIGR,17.7,121.5
31,HOPEME,18,122
31,TRI3MA,17.7,121.2
31,MALLPE,11,120.3
31,EUGESU,0,0
32,XANTEU,20,120
32,LEPISE,23.5,122.6
32,SHORM1,25.2,121
32,MALLPA,20.4,124.7
32,APORAR,25.9,126.3
32,POL1SC,29.9,129.8
32,LITHWA,31.8,130.6
32,MESUFE,31.8,130.3
32,PTYCCO,21.4,129.9
32,SHORM1,30,130
32,SHORM1,30.8,130.4
32,SHORM1,33.2,126.6
32,SHORP2,30.2,129.4
32,SHORM2,23.8,130.8
32,ARCHBU,26.1,132.7
32,SANTTO,29.5,131.5
32,BEILDI,29.8,133.1
32,SHORM1,26.2,133
32,XANTGR,28.2,132.8
32,SHORP2,32,133.5
32,HOPEME,35.3,133
32,KNEMSC,21.4,132.8
32,MACALO,21,134.7
32,EUGEGR,20.5,136.3
32,SAR1GR,21.4,138.2
32,CALOWA,0,0
32,MEMEO2,24,138.3
32,SHORP2,32,133.5
32,CALOWA,26.1,138.4
32,NEOBHE,28.6,139.6
32,KNEMMA,31,138.5
32,APORPR,39.5,139.4
32,AGLAFO,39.4,135.4
32,SHORM1,39.6,138
32,PTYCCO,34.1,131.7
32,SHORM1,0,0
32,ARCHBU,0,0
32,GANUSN,32.6,127.6
32,SHORAC,0,0
32,SHORAC,36.8,127.2
32,QUERAR,38,127.2
32,GREWMI,39.1,128.2
32,MEMEAM,37.8,124.2
32,ARCHBU,33.4,123.6
32,MACALO,35.8,123.4
32,QUERAR,33.6,125.6
32,XANTRU,34.3,122.3
32,SHORM1,32.6,120.8
32,ELATTA,39.2,121.4
32,EUGECL,39.1,123.2
32,MESURA,31.3,122.7
33,KNEMSC,43.5,120.3
33,HOPEME,41.2,120.4
33,MACALO,41.3,122.7
33,HOPEME,41.3,124.2
33,MILLAT,47.8,123.6
33,DACRR1,50,121.2
33,MILLAT,51.8,121
33,DACRR1,46,126.2
33,HOPEME,0,0
33,MEMEAM,46.7,127.3
33,CANTDI,45.3,127.6
33,SHORAC,43.5,128
33,CANAAP,47.7,128.5
33,ELATTA,44.8,130.5
33,MEMEAM,43,130.4
33,SANTLA,41.9,132
33,MESUFE,45,131
33,CROTLA,41.9,133.5
33,CANAPA,46.4,138.2
33,EUGEGR,47.8,136.8
33,EUGEC1,48,138.4
33,LITHCO,48,136.2
33,SHOROV,47,136.6
33,MILLAT,50,137.4
33,ANI1LA,54.7,137.6
33,CRY1CA,57.4,139.6
33,CALOWA,54.8,137.1
33,AIDICO,57.4,139.6
33,SHORP2,55.2,134.6
33,SHORM1,50.8,130.2
33,ARCHBU,51.3,135.9
33,MESURA,53,131.4
33,ARCHBU,52.5,128.8
33,SAR1GR,53.8,128.6
33,CANALL,52.6,123
33,ALANRI,54.3,128.6
33,BUCHSE,59.6,129.3
33,KNEMSC,56,125.5
33,ARTODA,58,122.3
33,PAYELU,40,139.6
34,ELATTA,62.5,122.8
34,DIOSSI,62.2,124.6
34,CALODE,62.2,123.8
34,SCHOAC,62,125.6
34,PTYCCO,60.6,127.1
34,SANTRU,64.6,125.1
34,DACRRO,69.2,123.3
34,LITSFE,66.4,130.1
34,ELAEFL,65.4,138.3
34,SINDEC,63.4,129.4
34,SANDKO,64.9,128.8
34,NEOSKI,66.4,138.5
34,RYPAKU,60.1,139.7
34,SANTTO,62.4,139.8
34,HORSFL,71.2,137.5
34,PERKSP,71.2,138.8
34,MESUFE,71.6,137.7
34,BACCRE,75.4,136.4
34,BACCPA,78.3,137.5
34,SHORP2,77.8,134.6
34,VATIBE,79.6,134.3
34,XERONO,79.5,133.2
34,DIPTC1,77.2,132.3
34,SHORM1,76,131.2
34,ANI1LA,74.3,132.6
34,VATIBE,71.4,130.8
34,GIROSU,72.8,129
34,EUGECL,0,0
34,ALANEB,73.4,128.8
34,KNEMSC,75.7,129.7
34,APORSY,78.6,129.7
34,PEN1MO,70.3,127.6
34,DRYPLO,70.6,127.8
34,LANSDO,70.6,126.5
34,MONOMA,71.4,125.9
34,XERONO,72.8,124.8
34,XANTST,73.1,124.4
34,HERISI,71.6,123.6
34,MADHL1,77.3,125
34,DIPTC1,78.4,122
34,POL1SU,77.8,121.8
35,AAAAAA,0,0
35,SCA1SP,81,120.4
35,XERONO,85.9,120
35,SANTLA,88.2,121.1
35,ARDICO,85.4,123.2
35,XANTST,87.7,123.6
35,SHORAC,89.6,123.3
35,TIMOWA,87.5,126.8
35,IXONIC,88.6,127.8
35,PTEREC,91.7,128.2
35,MONOMA,89.7,129.4
35,EUGEGR,82.6,128
35,BARRPE,83.7,127.4
35,EUGESU,81,129.8
35,BLUMTO,82.6,134.5
35,XERONO,82.5,137.6
35,XANTEU,82,139.6
35,CALODI,83.8,132.8
35,NEOBHE,84.4,130.2
35,XANTRU,88.2,131.8
35,BRACHO,88.8,134.8
35,LITHCU,88.4,136.7
35,CYATRA,90,133
35,CLE1SU,90.2,138.5
35,DIOSBU,89.7,139.6
35,DACRR1,84.4,136.5
35,SHORP2,85.3,137.4
35,LITHCU,92.1,135.8
35,CYNOMA,93.4,135.5
35,ARTOSC,91.1,135.6
35,SHORM1,93,137.5
35,DACRR1,93,138.6
35,PAROVA,97.5,134.1
35,HOMADI,97.8,131.7
35,ORMOVE,98.5,130.4
35,IXONIC,96.9,128
35,SAR1GR,93.7,130.1
35,SANDKO,93.2,130.5
35,CYNOMA,97.1,126.5
35,HORSS2,97.3,123.6
35,DIOSLA,99.3,123.7
35,SCA2MA,91.6,121.6
35,CALOTE,94.3,122
35,XERONO,93.7,123
36,MANGQU,87.9,140.5
36,XERONO,88.4,140.7
36,CYATRA,89.3,142.2
36,XANTEU,85.2,146.2
36,LANSDO,85.4,145.2
36,TERMSU,87.7,146.4
36,MEL1FU,88,145.1
36,HOPEDR,85.9,147.9
36,SANDKO,84.8,149.8
36,DACRLA,84.7,150.3
36,MONOMA,83,149
36,CANALR,80.2,150.6
36,GREWMI,80,152.5
36,GREWMI,80.1,156.1
36,SARADE,88.7,159.1
36,SARADE,84,158.6
36,SARADE,89.9,157.6
36,SARADE,89.9,158.3
36,SARADE,90.6,157.6
36,SARADE,92.7,157.6
36,SARADE,94.9,159
36,SARADE,94.4,156.4
36,SARADE,93.3,154
36,SARADE,93.4,152
36,SYMPFE,90.3,151.6
36,GYMNFO,96.3,154.4
36,SARADE,98.2,150.8
36,PAR1OB,98.9,158.5
36,SARADE,99.8,149.1
36,SARADE,98,148
36,SARADE,98.1,149.2
36,SARADE,97.9,147.7
36,SARADE,96.1,146.4
36,SARADE,96.3,146.1
36,SARADE,96.7,145.7
36,SARADE,96.7,145.3
36,SARADE,99.5,143.3
36,ARDIPA,80.4,143.8
37,DIOSA1,69.5,144
37,ELATTA,60.8,145.3
37,EUGESU,67.2,146.9
37,XANTST,67.6,145.2
37,NEOSKI,0,0
37,DURIGR,70.8,146.3
37,ACROPO,71.3,142
37,CROTER,71.1,142.4
37,EUGEGR,69,142.9
37,EUGEGR,69,148.8
37,HORSS2,70.5,150.7
37,ALANRI,67.1,150.9
37,ANI2CO,64.6,151.8
37,EUGENA,62.2,153.3
37,CANAME,62.8,154.4
37,SHORP1,65.6,153.3
37,RYPAKU,67.6,154.4
37,SHORM2,60.5,157.4
37,IXONIC,65.8,158.8
37,POMEPA,63.8,158.4
37,DRYPPO,62.2,158.2
37,KIBAAR,66.3,158.8
37,SAR1GR,69.8,154.6
37,PALAMA,69.4,155
37,OCHAAM,68.7,155.8
37,PORTAN,68,156.7
37,KNEMST,70.8,153.8
37,APORAR,69.9,157.7
37,SINDCO,73,151.8
37,BACCKU,60,140
37,BACCKU,73.8,148.2
37,SANTRU,76.4,146
37,MACAHO,75.6,150
37,MEL1FU,72.1,150
37,POL1SC,70.4,149.4
37,KIBAAR,76.9,150.8
37,PORTAN,0,0
37,DIOSA1,79.4,151.6
37,GREWBL,79.2,148.5
37,ARTODA,77.7,147.7
37,XANTEU,75.5,157.8
37,PEN1MO,73.9,154.4
37,FICUSA,80,140
37,XANTST,79.4,143.9
37,AAAAAA,0,0
37,BUCHAR,79.4,145
37,REINCI,80,143.1
38,XANTEU,53.5,140.2
38,BEILDI,59.8,144.6
38,SANTTO,40.5,140.4
38,CANALR,40.9,140.6
38,SANTTO,41.4,143.4
38,EUGECL,43.6,144.2
38,NEOBHE,40.8,141.6
38,PIMEGR,40.5,143
38,GREWBL,46.5,147.4
38,SHORM1,0,0
38,ARCHBU,43.9,147.3
38,KNEMLA,45.1,146.8
38,PORTAN,48.2,148.3
38,GREWMI,47.4,149.8
38,RYPAKU,49,151.9
38,SHORM2,52.2,150.1
38,XERONO,50.7,149.3
38,MESURA,50.6,148.8
38,ALPHMA,53.4,149.5
38,CANAPA,53.1,151.1
38,GYNOAX,53.1,153.1
38,LITSCO,42.6,149.8
38,GLUTM2,43.1,153.9
38,MONOMA,42.7,154
38,RYPAKU,42.1,154.8
38,EUGECH,40.5,154.6
38,KNEMFU,44.4,157.5
38,GANUSN,49.8,156.8
38,OCHAAM,49.6,155
38,DRYPLO,52.5,156.1
38,KNEMSC,55.4,153
38,ANI1LA,59.6,151.7
38,EUGEDU,56.4,150.9
38,PAYELU,57.2,148.8
38,GIROPA,59,148.3
38,ONCOMO,56.5,147.2
38,DACRR1,54.2,148.1
38,LANSDO,53.7,142.3
38,SANTAP,55.4,142.3
38,SHORL2,56.2,143.6
38,MILLAT,56.6,142.2
38,OCHAAM,57.4,145.4
39,HOPEME,23.9,140.3
39,CANALR,26.5,141.3
39,MILLAT,27.8,141.4
39,PAROVA,28,140.5
39,DIPLMA,30.4,149.4
39,DRYPKI,30.8,142.6
39,ARCHBU,32.8,142.3
39,SANTTO,32.9,145.3
39,KNEMMA,29.2,145.5
39,SCA2MA,28.4,148.2
39,SHORL1,28,149
39,DIALWA,30.3,149.5
39,XANTEU,31.4,149.4
39,SHORM2,29.7,151.7
39,DIPLMA,26.6,151.1
39,MESUFE,21.5,149.1
39,SHORM2,22.1,147
39,CROTAR,22.4,144.7
39,CROTAR,25,147.5
39,EUGEC1,22.2,151.2
39,SCHOAC,22.4,153.2
39,PORTAN,22.8,153.5
39,CROTAR,22.1,153.8
39,SHORM2,23.5,154.2
39,PIMEGR,20.8,154.6
39,CALOMA,23.4,153.3
39,SCA2MA,24.7,158.6
39,SANTLA,24.7,159.1
39,MONOMA,24.4,159.7
39,ARCHBU,32.8,153.2
39,EUGEP3,33.8,152.8
39,KNEMCO,33.2,151.7
39,RYPAKU,32.3,150.2
39,VATIBE,34.7,149.9
39,LITHRA,35.9,152.7
39,OCHAAM,38.2,150.5
39,SAR1GR,37.9,149.5
39,EUGERI,38.9,150.6
39,DRYPLO,38.6,147.3
39,CROTAR,39.6,148
39,CALODI,37.6,142.5
39,SHORP2,33.5,141.5
40,NEPHCO,4.5,142.3
40,KNEMHO,7.1,145.2
40,BACCRE,5.8,143.8
40,CASTME,5.5,142.8
40,MEL1FU,4.6,148.8
40,HOPEME,5.7,148.9
40,EUGEC1,0.4,148
40,SHORP1,1.3,145.3
40,BEILDI,1.1,150.6
40,RYPAKU,0.9,152.9
40,CALODI,8.3,152
40,MONOMA,5,152.2
40,XANTEU,7.8,152
40,GIRONE,3,155
40,ARTOLO,0.6,159.2
40,CANTDI,8.9,148.5
40,PARKSP,10.6,147.3
40,SHORM2,14.9,156.3
40,DIOSBU,16.1,159.1
40,EUGEC1,19.4,157.1
40,SHORM1,18.1,152
40,XANTGR,16.8,152.4
40,CARABR,15.8,152.3
40,IXONIC,6.9,148.8
40,ARCHBU,13.2,148.4
40,CROTAR,15.4,149.3
40,PAR1CO,19.3,145.3
40,BACCRA,16.7,143.9
40,ALANRI,15.5,141.9
40,MESURA,13.5,140.3
40,ALPHMA,11.1,144.3
41,BACCRA,0.7,163.9
41,PTYCCO,3,162.3
41,CANALR,8.5,160.7
41,EUGEGR,8.5,166.7
41,GREWMI,8.6,164.2
41,PTYCCO,7,167.8
41,XANTEU,8.1,170.6
41,NEOSKI,8,171.2
41,DIOSBU,7.7,170.9
41,XANTST,2,171.3
41,CRY1RU,5.2,171
41,MESUFE,0.7,171.5
41,EUGEFI,2.4,170
41,APORPE,2.3,175.4
41,DILLSU,0,0
41,XANTST,9,176.9
41,MONOMA,9,175.4
41,HOPEBR,6,177.6
41,PALAMA,10.9,177.6
41,DACRR1,11.1,177.4
41,ARDICO,12.2,179.5
41,IXONIC,14.8,176.9
41,DIPTKU,10.8,165.7
41,DACRRO,0,0
41,SHORM2,8.8,167.6
41,MONOMA,17.3,167.7
41,LITHSU,14.7,171
41,HOPEDR,14.4,168.4
41,ARTOLO,17.1,164.6
41,ANI1LA,19.2,165.2
41,XANTGR,13.9,162.2
42,GARCNI,21.4,161.4
42,SHORAC,27.2,163.2
42,SHORP2,28.8,161.1
42,KNEMPA,28.6,161.4
42,EUGEP3,29.2,161.2
42,XANTEU,30.7,161.2
42,HOPEME,28.4,163.8
42,XYLOFO,30.1,164.3
42,EUGEGR,24.2,167.5
42,KOOMMA,23.3,166.9
42,SHORP1,23,168
42,IXONIC,21,167.2
42,PTEREC,25.8,169.7
42,ALANRI,21,172.2
42,MYRIM1,21,176.1
42,GONYAF,22.1,173.5
42,SANTLA,22.2,178.1
42,OCHAAM,23.3,177.9
42,NEPHCO,28.7,173.7
42,SCA1SP,26,174.3
42,SINDVE,29.7,173.3
42,LICASP,29.7,175
42,CALODI,32.2,175.1
42,LINDOX,0,0
42,SANTLA,32.4,167.4
42,HERIEL,32.1,171.3
42,BHESPA,33.1,171.7
42,MEZZLE,35,171.2
42,PORTAN,34.9,173.9
42,EUGEP3,37.9,172.6
42,GREWMI,38.1,170
42,HOPEDR,38.8,169.5
42,XYLOFS,39.7,178.5
42,CHISER,39.2,168.3
42,CROTAR,39.4,166.4
42,DRYPLO,38.9,165.2
42,MILLAT,39.1,164.3
42,ACTIPR,39.7,161.6
42,CALODI,34.7,160.9
42,PALAMA,35.9,164.5
42,MEL1FU,0,0
42,MYRICI,36.6,164.5
43,DACRR2,40.4,170.8
43,DACRLA,41,160.2
43,CALODI,40.5,161.5
43,HOPEDR,43,160.7
43,XYLOFS,41.8,160
43,DIALWA,43,161.8
43,SHORM1,44.9,160.1
43,ELATTA,46.8,160.2
43,ALPHMA,47.8,160.1
43,SINDVE,51.8,160.6
43,OCHAAM,49.7,162.9
43,MEZZLE,51.9,163
43,ALPHMA,50.7,164.3
43,BEILP2,50.7,168.4
43,RYPAKU,45.3,168
43,DACRR1,46.4,165.6
43,POMEPA,43.7,168.4
43,LANSDO,42.5,169.9
43,OCHAAM,40.5,171.3
43,GONOGR,42.3,172.6
43,LANSDO,41.8,173.9
43,LEPISE,42.8,173.1
43,PTEREC,45.8,172.7
43,LITHSU,50.7,173.6
43,XANTEU,50.4,177.5
43,TRI1HY,44.5,177.8
43,SANTTO,42.6,178.7
43,DACRR1,44.1,179.7
43,DIPTC1,52.9,177
43,SHORP2,52.4,177
43,SHORAC,57.1,178.9
43,EUGECL,55.3,179.4
43,ARCHBU,57,177.8
43,SHORP1,57,175.5
43,XANTGR,54.4,174.2
43,MONOMA,53.8,172.5
43,DACRR1,54.4,172.2
43,SHORDA,56.5,171.1
43,CROTAR,56.4,170
43,PIMEGR,56.3,170.1
43,CALODI,56.7,168.5
43,SHORP2,55.1,167.2
43,BACCRE,59.1,171
43,KIBAAR,59.9,165
43,APORNI,57.3,160
43,CROTAR,59.5,162.7
43,PIMEGR,60,162.8
44,PALAH2,69.6,163.2
44,PAROVA,67,165.8
44,XERONO,70.1,163.1
44,KOILLO,71.9,164.1
44,POL1SU,71.3,163.2
44,ALANEB,70.4,163
44,SHORM1,66.2,169.7
44,PALAMA,68.3,170.1
44,ALANEB,72.1,167.9
44,CYATRA,69.9,170.3
44,XYLOFS,69.9,171.2
44,BACCMI,60,160
44,SANTTO,64.1,169.9
44,PORTAN,65,172
44,GARCAT,64,172.2
44,POL1HY,61.9,171.2
44,ARCHBU,64.6,178.1
44,DIOSLA,69.4,176.5
44,DRYPLO,72.6,172.3
44,DACRCO,72.1,178.2
44,SHORL1,75.1,178.7
44,SHORL1,72.7,178.5
44,XYLOM1,71.6,178.1
44,RYPAKU,79.7,178.3
44,CANTDI,79.8,175.7
44,GREWBL,75.9,172.9
44,MONOMA,70.9,173
44,DACRR1,73.3,173.5
44,NEOBHE,75.1,170.2
44,APORAU,74.4,170.4
44,ALANEB,74.1,169
44,KOOMMA,77.2,166.8
44,PAYELU,0,0
44,PEN1MO,78.8,169.4
44,BARRPE,74.5,163.6
44,SCA1SP,70.4,163.2
44,DIOSLA,79.9,165.2
44,XANTEU,63.7,179.8
45,XERONO,80.9,161.7
45,DACRR1,80.2,169.6
45,CYNOMA,85.4,168.3
45,XERONO,82.9,168.6
45,BUCHSE,82,164
45,ARTORI,82.9,171.2
45,SARADE,86.1,179.1
45,GIRONE,82.8,178.7
45,SARADE,87.3,177.2
45,SARADE,86.8,176
45,SARADE,89.3,179.6
45,SARADE,89.6,178.1
45,SARADE,87.5,171.7
45,DRYPPO,85.8,172
45,SARADE,88.4,170.2
45,SARADE,89.2,169.1
45,SARADE,89.8,166.2
45,SARADE,91.3,162.7
45,SARADE,92.2,171.5
45,SARADE,94.9,172.5
45,SARADE,94,174.6
45,SARADE,92.2,174.5
45,SARADE,92.8,175.9
45,SARADE,93.7,177.7
45,SARADE,95.9,177.1
45,SARADE,99.2,177.7
45,SARADE,95.6,178.4
45,SARADE,95.8,179.6
45,SARADE,99.7,172.7
45,KNEMMA,95.7,165.2
45,MEMEO2,99.2,162.5
46,BARRPE,81.7,190.3
46,BACCRA,82.4,189.5
46,RYPAKU,82.6,186.4
46,XYLOCA,83.4,185.1
46,DACRR2,81.6,192.1
46,ARTOSC,81.5,194.3
46,LEPISE,84.9,196
46,GIRONE,86.6,195.9
46,MYRIM2,87.6,194.6
46,LEPISE,88,194.4
46,LANSDO,84.2,199.2
46,HOPEME,80.8,197.9
46,EUGEFI,85.1,197.5
46,CANAP2,89.3,197.9
46,XERONO,93.1,199.7
46,SARADE,89.9,191.9
46,SARADE,86.8,186.7
46,SARADE,88.1,184.6
46,SARADE,87.8,184.7
46,SARADE,88.5,184.6
46,KNEMLA,89,185.2
46,SARADE,94.5,192
46,SARADE,95.2,191.3
46,SARADE,94.9,196.7
46,SARADE,95.5,198.2
46,SARADE,96.5,198.6
46,SARADE,98.8,199.3
46,SARADE,96.4,199.5
46,SARADE,99.6,197.4
46,SARADE,91.6,199.5
46,SARADE,89.4,199.6
46,SARADE,87.8,199.8
46,SARADE,91.9,180
46,SARADE,97,188.5
46,SARADE,95.2,188.4
46,SARADE,92.1,188.8
46,SARADE,90.3,185.7
46,SARADE,91.7,183.9
46,SARADE,99.5,185.9
46,SARADE,99.6,184.2
