SPECIES,QUAD,XCO,YCO,GROWTH
CYATRA,17,69.5,60.7,-1.21
NEPHER,28,41.6,108.3,0.08
NEPHER,29,39,109.4,-2.56
TEIJCO,15,89.9,59.5,-0.84
TEIJCO,15,99.4,41.8,-1.28
