SPECIES,XCO,YCO,DBH2023,GROWTH2123,CLASS2023
SHORL1,68.7,18.9,9.2,-5.3,2
OCHAAM,95.6,17.4,13.6,-1.3,3
GARCMA,84.4,59.2,9.6,-1.8,2
TEIJCO,99.4,41.8,14,-1.3,3
VATIOD,97,44.6,10.4,-1.6,3
SHORM2,93,44.4,13.9,-2.7,3
XANTEU,90.4,70.2,12,-0.5,3
CYATRA,69.5,60.7,21.4,-2.4,4
ARTOKE,26.2,75.4,10.2,-1,3
CYNOMA,5,84.2,8,-2,2
EUGEC1,83.4,96.1,16,-2,3
NEPHER,39,109.4,25.7,-2.6,4
SARADE,93.3,154,26,-2.7,4
SANTTO,40.5,140.4,21.4,-2.2,4
EUGECL,43.6,144.2,13.6,-1,3
PORTAN,22.8,153.5,16.9,-0.5,3
HOPEME,28.4,163.8,23,-1,4
DACRR1,73.3,173.5,10.8,-1,3
CYNOMA,85.4,168.3,12.6,-1.5,3
