SP,XCO,YCO
ARCHBU,97.1,26.6
SANTLA,98.9,23.6
GARCMA,99,22.1
DIPTC1,99.5,26.4
DRYPKI,99.7,21
SANTLA,98.2,20.3
GARCPA,99.6,20.4
MESURA,94.5,20.7
POL1SU,93.4,22.8
EUGERI,93.5,25.4
XERONO,91.3,21.9
MACALO,89.4,23.7
BOUEOP,62.9,22.2
SANDKO,63.7,22
IXONIC,64.4,23.5
XANTEU,71,25.2
GONYMA,0,0
SHORM2,62.6,27
DACRRO,62.2,25.4
SHORP1,64.6,26
CROTLA,64.7,30.9
IXONIC,64.1,33.5
XERONO,66.2,33.9
ALPHEL,71.1,34.1
DIALWA,70.5,35.3
BACCRE,66.4,38.1
ARTOIS,68.3,38.9
KNEMLA,72.5,38.5
AIDICO,69.1,39.2
DACRLA,70.8,34.6
EUGEPR,74,32.8
BACCRE,74.8,35.2
PTYCCO,77,38.9
LANSDO,77.6,36.2
DURIGR,77.4,32.1
LEPISE,78.3,30.7
EUGEKO,74.6,26.7
EUGETU,71.8,27.4
TRI3MA,72,28.6
SHORL1,72,27
DACRR1,77.9,24.6
PALAH2,78.3,22.1
NEPHCO,78,21
SANTLA,79.5,20.4
SHORL1,76.5,20.8
MILLAT,74.5,20.3
SHORP1,47.1,23.6
PORTAN,0,0
SANTLA,48.5,22
DIOSAP,44.6,26.3
XANTEU,47.4,27.3
ALPHEL,48.2,30.2
DACRR1,44.6,29
IXONIC,50,30.3
NAUCOF,40.9,36.9
EUGECL,40.6,32.1
STERPA,41.4,35.4
PIMEGR,40.8,34.8
EUGERI,40.5,30.8
MONOMA,44.5,36.9
IXONIC,41.6,39
VATIBE,45.4,37
SHORM2,46,38.2
CROTLA,47.2,38.5
SHORL2,49,38.9
SHORL1,48.8,38.5
NEPHER,51,38
EUGEDE,52,34.4
CHISER,52.7,34.3
HOPEME,54.1,35.2
XANTEU,55.9,32
MEMEO2,57.9,33.6
MESURA,59.9,36.4
GIROPA,55.2,39.1
APORPR,0,0
KOOMMA,56.7,36.4
SHORL1,54.5,22.5
SHORL1,55.7,22.5
SHORL1,55.4,36.6
CALODI,57,26.7
SHORP1,56.2,28.4
DURIGR,56.5,30
ELAERU,50.3,26
CALODI,58.3,22
HERISI,51,21.5
APORAR,49.5,21
EUGEDE,26.4,20.2
PAYEMA,20.1,20
PAYELU,31.3,20.8
SHORL1,26,24.7
PAYEMA,27.7,24.2
HOPEME,0,0
CYNOMA,25.5,27.9
SYMPC2,20.4,28.7
KOKOOC,23.2,26.6
RYPAKU,21.5,32.9
CROTLA,21.8,31
ATUNEX,24,34.7
LEPISE,24.3,36.9
SHORAC,22,38.4
LITSM2,28.2,39.2
EUGEDE,29.5,34.6
LITHWA,30.7,34.1
MANGQU,35.8,38.7
ELAENI,36.8,33.4
BUCHSE,37.3,33.7
CRY1GR,39,35
ELAEFE,36.5,31
SANTLA,36,30.5
GONYMA,34.9,29.9
IXONIC,38.7,30
APORNE,36.8,23.8
DACRCO,38.5,25.6
PTYCCO,40,21.3
DILLSU,0.7,21.9
CALOTE,8.7,23.2
EUGEC1,7,24.7
LITHCU,3.5,29
HORSPO,3.8,31.1
NEOSKI,1.8,35.1
HORSPS,1,32.4
HUNTZE,0.5,35
XANTAF,0.7,35.7
APORPE,0.6,38.8
CANAPA,0.7,39.3
TRI2MA,2.9,39.8
SANTLA,9.8,37.3
QUERAR,10.3,39.6
AGLAE1,8.5,39.1
DACRRO,8.3,35
DACRR1,12.7,33.1
CROTLA,15.5,35.7
MESUGR,19.5,33.6
EUGEDE,16.2,30.4
GANUSN,19.8,38.7
SANTLA,19.5,38.5
ARTORI,13.1,28.8
KNEMMA,12.3,28.8
DIOSBU,12.4,27.9
EUGEFI,12.3,28
POMEPA,14.1,26
INTSPA,15,27.4
GREWAN,19.1,25.6
MESUGR,16.3,21.5
DIOSAP,16.1,23.6
SHORAC,14.6,21.5
EUGERI,18.1,21.2
KNEMSC,14,21.4
DRYPLO,11.8,20.9
MACALO,7.1,40.3
MACALO,10.6,40.5
SCA1SP,9.4,44.4
BOUEMA,10.5,46
PSYD10,10.8,47.3
EUGENA,11.5,48.5
NEOSKI,13.4,47.8
DACRR1,9.1,47.1
CALOTE,5.2,47.1
CINNIN,1.2,46.7
PTEIEC,2.5,46.2
POL1JE,10.8,48.3
DRYPLO,0.4,45
ARTORI,3,43.8
DIOSAP,0,0
PORTAN,0.5,42.2
IXONIC,3.7,40.4
EUGEPU,3.8,44.4
BEILDI,9.4,57.4
DIALPA,5.1,57.3
EUGEFI,3.3,55.3
SHORP1,1.2,56.2
PAYELU,6.5,56.2
APORAU,5.4,53.4
HERISI,1.3,57.8
XYLOFE,2.5,59.7
MALLPE,12.2,57.8
HORSS2,2.4,57.8
MANGQU,12.8,56
LITSNI,0,0
EUGEPR,13.6,55.4
BOUEMA,14.4,54
XYLOM2,15.1,53.3
CANALR,15.4,57.5
APORBR,17.8,59.2
MADHL1,19,55.3
BEILDI,18,52.9
BEILDI,18,50.9
ARCHCL,15.5,51
PEN1MO,16.5,48.7
XANTAF,16.3,49
KIBAAR,19.5,46.4
KNEMHO,20,45.1
XYLOM2,18.5,43.1
PIMEGR,14.4,41.3
SCA1SP,0,0
RYPAAC,23.6,42
CANALT,24.8,42.3
SHORM2,27.4,42.4
ATUNEX,25.7,44.4
LEPISE,28.2,46.2
DACRR1,27.9,48
EUGEPR,28.5,48.8
ANI1LA,23.4,46.2
ALANRI,21.6,46.1
ANI1LA,25.3,51.9
LEPISE,0,0
LANSDO,23.7,55.2
TRIOMA,25.8,55.2
PYREAC,23.5,57
CALODI,24.5,57.5
SHORP2,24.2,58
APORBR,28.3,56.2
EUGESU,28.4,57.4
GREWMI,31.2,57.4
IXONIC,31.9,56.5
ANI1LA,33,55.6
MESUGR,36,56.7
KNEMLA,37.6,58.7
BACCPY,38.7,56.7
SANDKO,34.3,49.2
DACRR1,36.2,57
SCA1SP,35.2,48.2
MEL1AU,35.2,47
MACALO,35.5,46.4
CROTLA,36.6,47.2
BEILKU,34.7,45.9
RYPAAC,32,46.7
ALANRI,31.6,49.8
CANALR,30.9,43.5
EUGEO1,30.8,40.4
DIOSBU,20.4,44.2
AAAAAA,0,0
MILLAT,0,0
SHORM1,38.1,41.1
DACRR1,42.4,42.7
DIOSBU,44.4,40.1
CANTDI,46.7,41.5
LITHCU,47.7,43.4
XANTAM,47.7,45.1
DIPTC1,48.4,45.1
MACALO,52.7,44.2
MACALO,53.1,45.7
POL1OB,54.3,44.5
SYMPC2,47.7,48.3
BUCHSE,50.1,48.6
KOILLO,49.3,51.3
PTYCCO,52.3,51.7
CROTLA,0,0
XANTEU,46.4,54.9
ARCHBU,44.5,54.2
CROTLA,42.4,53.2
AIDIWA,42,51.5
TRI3LA,41.3,55.1
SANTAP,42,59.4
TRI3LA,40.2,59
PTYCCO,45.4,59.7
SHORAC,44.8,58.3
MESUFE,57.3,57.3
SHORL1,54.1,56.3
DACRR1,53.8,58.4
POMEPA,58,40.3
LEPISE,58.3,46.3
DIOSAP,57.3,41.7
KOOMMA,56.8,41.8
DIPLMA,60.4,50.4
MACALO,78.3,49.7
QUERAR,64.9,43.1
CALOMA,0,0
LITHCU,61.7,53
AAAAAA,62.4,48.3
SAPIBA,62.6,50.2
EUGERI,63,53.1
DIPTC1,65.8,52.5
VATIBE,66.7,52.1
DIOSSI,67.7,51.1
PAR1OB,64.5,54.5
GIRONE,66.1,55.1
ARCHBU,69.9,50.1
SANDKO,72.7,48.2
LITHCU,69.2,48
GYNOAX,66.5,47.5
BEILDI,67.2,50
MYRIM3,66,59.5
GLUTM2,73.4,52.3
RYPAKU,72.6,50.5
PIMEGR,72.5,52
SHORM2,71.4,52.2
ORMOPE,75.5,48.4
NEOBHE,0,0
CANAPA,71.6,54.9
NAUCOF,75.9,47.3
DIPLMA,77.6,55.3
PAROVA,78.8,57.8
QUERAR,79.5,53
SHORM2,79,47.4
KNEMSC,79.1,45.2
MANGQU,76.7,44.2
PORTAN,75.8,44.5
NOTHUM,72.5,45
STYRBE,75.2,40.5
POL1HY,72.6,40.5
TRI2MA,78.1,42.9
SHORP1,80,42
HOPEME,88.5,41.4
SHORM2,85.8,42.7
VATIBE,85.8,45
MESUFE,85,45.7
MACATR,81.2,45.6
SHORM2,86.6,45.2
AAAAAA,0,0
KNEMMA,89.5,48.5
INTSPA,88.1,51.2
ARTOIS,86.6,49
PIMELO,90.8,49.2
DIOSBU,91.5,51.1
MANGQU,90.2,48
MONOMA,97,52
QUERAR,86.2,54.2
MANGQU,85.8,59.6
GARCMA,84.4,59.2
EUGEFL,87.1,58.7
TEIJCO,89.9,59.5
HOPEME,93.1,53.3
HORSPO,95.2,53.9
HORSPO,97.8,52.6
AGLASP,97.2,51.2
MYRIM1,99.1,54.5
XANTST,96.3,59.5
NEOSKI,94.8,57
RYPAKU,90.2,48
SANTAP,96.6,45.9
TEIJCO,99.4,41.8
LITHRA,97.8,44
SHORP1,97.2,44.2
VATIOD,97,44.6
ALPHEL,95.2,45.8
KNEMMA,90.3,48
SHORM2,93,44.4
TEIJCO,91.5,42.3
EUGESP,84.1,61.9
DIPTC1,85.1,61.6
MEMEO1,81,62
GYNOMA,0,0
GARCMA,0,0
PELLSA,80.5,60.5
XANTEU,90.4,70.2
MONOMA,95.6,60.2
SANTLA,93.3,60.2
PORTAN,90.3,64.5
XANTEU,84.8,69.7
MESUFE,80.9,71.3
DIPTC1,80.1,71.9
MESURA,81.3,73.5
MEL1FU,86.5,72.2
OCHAAM,85.1,71.7
KNEMST,87.8,78.9
SANTTO,87.9,79.4
DACRLA,87.7,76.7
SCA2MA,89,76.4
CYNOMA,89.9,75.6
ELAENI,91.8,68.4
DRYPKI,90.5,72
CASTSC,90.3,67.1
BACCSU,96.2,73.1
SHOROV,95.8,74.6
ARTOIS,94.6,76.5
PTEREC,92.7,76
ARCHBU,93.6,68.3
SHORAC,93.3,70.3
HERIEL,98.5,65.2
PAR2DE,100,61.7
MANGQU,98.8,60.9
HORSS2,97.9,60.8
ARTOIS,94.5,60
XANTEU,75.2,77.6
CALODI,60.3,60.3
CYATRA,69.5,60.7
BARRPE,69,65.5
NEOSKI,64.6,64.8
DACRLA,64.3,65.2
SHORAC,62.5,63.2
NEOUFO,61.8,67
MONOMA,63.3,68.9
DIOSMA,64.1,69.1
SINDWA,62.9,72
MILLAT,67.5,71.9
MESURA,60,72.3
PORTAN,60.2,75.3
AGLAGL,62.4,74.6
SHORM1,62.8,77
MILLAT,62.2,78.4
CANTDI,63.8,78.1
HOPEME,70.5,70.5
KNEMLA,70.6,70.2
ALANRI,70.2,77.1
PTYCCO,73.7,77.1
ELAERU,75.8,77.3
CANTDI,78.7,77.1
MANGG2,76.2,71.4
XANTEU,78.5,70.1
GANUSN,79,70.4
EUGEPU,71.8,68.2
NEPHCO,72.5,67
SHORM1,74.3,66.9
CYATRA,71.8,64.5
BACCRE,71.3,62.3
PORTAN,74.6,61.1
AAAAAA,0,0
DRYPLO,72.7,60.2
VATIBE,49.3,62.9
EUGEC1,51.9,63.8
MONOMA,0,0
XANTRU,45.9,63.6
MACALO,45,62.3
EUGEO1,45.8,64.9
SHORM2,46.2,66.2
BEILM2,46.9,65.6
DACRRO,48,64
MESURA,42.1,71.7
CANTDI,41.4,71.6
NEPHER,0,0
CANTDI,42.4,70.4
BARRPE,43.1,75.9
SHORL2,41.5,78.2
DIOSBU,54,72.2
POL1RU,51.8,73
MONOMA,54,71.4
GIROPA,48.4,71.7
ALPHMA,56.1,72.7
SHORM2,57.3,73
CANALT,56.4,71.4
ANTICO,57.8,73.4
GIRONE,53.2,77.8
GARCEU,48.3,77.5
CYATRA,47.7,77.4
ARTOLO,55.1,76.2
PAYELU,54,76
PAROVA,53.2,76.2
PIMEGR,58.2,79.4
PAROVA,58.5,68.4
HOPEME,58.2,68.1
DIOSAP,56.2,68.8
SHORL2,0,0
EUGEPU,59.5,62.2
VATIBE,26.2,61
POL1SC,0,0
MEL1AN,23.5,62.6
HOPEME,29.9,66.6
CHISTO,28.3,68
XANTEU,29.7,71.5
CROTAR,28,71.5
XANTEU,25,73.7
SHORP2,23.6,75.1
LITHEW,20.4,78.5
XERONO,25.6,78.7
EUGEP4,24.2,77.6
ARTOKE,26.2,75.4
CROTAR,26.9,79.1
XANTGR,30.8,78.4
CRY1GR,32.8,75.9
PTYCCO,33.1,75.4
DRYPLO,33.6,75.1
POL1JE,33.1,74
NEPHMA,35.2,76
DIPTC1,35.8,78.1
SHORM1,35,79.6
LITHEW,33.2,79.4
CANTDI,37.9,74.8
GANUSN,39.3,74.4
LITHEW,39.3,69.4
SHORBR,34.1,69.5
PORTAN,35,69.4
SHORAC,36.2,72
DIPTC1,37.4,66.2
XERONO,36.4,67.2
SHORM1,38.8,67.4
MESUFE,38.7,64.5
BUCHSE,36.1,61.4
NEOBHE,37,62.4
GIRONE,34.4,70.1
SHORP2,33.5,60.6
MANGQU,4.5,62.7
MACACO,1.2,64
EUGEC1,7.3,61.9
MESURA,10,63
POPOTC,9.8,64
EUGEC4,8.8,66.7
MANGQU,7.3,68.9
ANTICO,3.3,71.8
BACCRA,2.4,68.1
LANSDO,5.4,76.8
PORTAN,8.4,75.4
ARTOSC,8.6,77.3
SHORM2,10.1,71
BLUMTO,6.8,67.2
MACACO,6.1,69.2
DIPTKU,10.5,67.1
BUCHSE,10.7,76.2
DACRR1,13.4,78.3
HORSFL,15.5,77.3
EUGEC1,15.5,75.3
SHORP2,17.6,74.4
LANSDO,17.4,73.7
SINDWA,13.1,72.9
MESURA,13.5,73
AAAAAA,0,0
LITHCU,10.9,73.9
ONCOMO,12.8,63.9
NEOSKI,19.2,64
DACRCO,19.6,64.6
SANTLA,11.2,64.2
SCA1SP,18.8,65.2
KNEMKU,18.2,61
SCA2LI,19.2,60.9
NAUCOF,16.1,61.2
ALANRI,13.6,60.9
MESURA,13.2,61.5
MADHCU,14,62.4
KNEMSC,2.3,82.3
ACROPO,1.6,81.3
IXONIC,8.1,80.6
SHORL1,4.6,80.5
ARCHBU,5.1,82
CYNOMA,5,84.2
MEMEEX,0.6,83.5
ALANRI,7.9,85.1
DACRR1,7.9,86
HOPEME,8.8,82.8
HOPEME,8.8,84
SHORAC,7.2,90.7
IRVIMA,14.2,86.9
CROTAR,9.5,86.3
XANTGR,4.9,90.9
DACRR1,3.4,93
LITSFE,8.3,94.5
XYLOFE,10.2,96.8
PIMEGR,11.3,95.9
PYSOGR,13.2,91.4
CRY1GR,14,90
ARTOSC,6.1,97.6
EUGEGR,7,99.4
SINDVE,2.6,96.3
PAYELU,4,97.2
DACRRO,1.7,96.3
SANTLA,11.9,98.2
DRYPLO,17.3,97
GREWBL,16.4,94
XANTEU,18.9,96.4
BACCMI,16.7,86.5
CANTDI,19,83.5
EUGEGR,15.7,83.2
ARCHKU,17.6,81.3
MONOMA,19.2,89.7
ARCHCY,0,0
XANTRU,19.2,80.4
AAAAAA,0,0
APORPE,28.9,89.5
MEL1FU,26.2,81.3
PTEREC,28.4,85.4
KNEMSC,26,83.1
MANGQU,28.7,86
GIRONE,24.1,86.6
MONOMA,20.2,88.5
SHORBR,22.5,90.4
POL1HY,27.4,90.2
APORBR,23.7,91.8
MALLPE,27.3,92.2
MEMEAM,24.1,94.9
BUCHSE,26.2,96.3
BARRPE,25,98.3
POL1JE,25.9,99.6
MACALO,20.3,98.4
MESUFE,20.9,97.8
EUGEP3,31,95.2
KNEMSC,30.9,99.7
EUGES2,33.5,98
CALODI,32.4,94.5
APORBR,35.5,90
BEILM2,36.9,98
SHORM2,38.4,99.2
KNEMFU,32.4,80.6
XANTGR,37.2,87.2
BEILM2,32.4,85.9
ALPHMA,36.2,84.1
HOPEME,33.5,83.6
SHORP2,31.5,81.9
XYLOFS,35,80.4
GORDSI,41.1,81.3
MEL1AN,44.2,80.6
SHORM1,40.8,82.9
CROTLA,41.7,82.5
DIOSSU,43.8,83.2
EUGEP3,43.8,86.9
SHORL1,46.5,88.4
DIPTC1,47.1,91.9
